	log_likelihood
1676	295.5318
1677	273.2049
1678	259.68512
1679	317.65442
1680	230.60559
1681	262.32855
1682	302.998
1683	137.7436
1684	286.12958
1685	123.16571
1686	318.72934
1687	317.77322
1688	261.35336
1689	311.9206
1690	76.320145
1691	101.81228
1692	310.23706
1693	1.8371181
1694	326.70474
1695	309.8304
1696	277.35382
1697	317.26602
1698	270.44946
1699	205.00354
1700	296.43182
1701	245.87158
1702	258.83112
1703	255.21814
1704	324.5584
1705	252.608
1706	225.87715
1707	312.8456
1708	286.86108
1709	224.45447
1710	267.41864
1711	331.70538
1712	283.4711
1713	300.9632
1714	281.01547
1715	283.8581
1716	264.29306
1717	88.126625
1718	271.9333
1719	322.076
1720	259.32736
1721	223.86575
1722	241.44955
1723	286.04135
1724	318.38962
1725	317.00214
1726	318.08307
1727	243.0079
1728	298.01822
1729	320.598
1730	309.25327
1731	223.5958
1732	300.68045
1733	307.5685
1734	232.24545
1735	295.5918
1736	254.30754
1737	300.57382
1738	322.80005
1739	268.60358
1740	248.91675
1741	319.77222
1742	265.2692
1743	299.0423
1744	274.159
1745	309.40155
1746	299.04614
1747	245.90805
1748	302.8404
1749	291.7575
1750	241.41284
1751	297.1844
1752	319.11176
1753	329.07953
1754	183.598
1755	146.60735
1756	227.22083
1757	324.45132
1758	292.93463
1759	300.10492
1760	303.15045
1761	216.30441
1762	316.82175
1763	323.66504
1764	301.93015
1765	281.1346
1766	273.83847
1767	176.86758
1768	300.12213
1769	292.87704
1770	309.18378
1771	246.7448
1772	309.52396
1773	196.34041
1774	298.73624
1775	324.14694
1776	282.53726
1777	302.1502
1778	270.2127
1779	256.3604
1780	250.70674
1781	284.04782
1782	219.60043
1783	281.91925
1784	304.61823
1785	305.6825
1786	282.55704
1787	325.44153
1788	242.51595
1789	271.36542
1790	310.68887
1791	301.69513
1792	268.50262
1793	299.72485
1794	302.80524
1795	273.41318
1796	307.90097
1797	302.07373
1798	299.19092
1799	282.46735
1800	307.10025
1801	337.2256
1802	306.4501
1803	309.16888
1804	272.27283
1805	295.70062
1806	290.78644
1807	311.6844
1808	281.09912
1809	202.50346
1810	225.06192
1811	216.97554
1812	307.06863
1813	303.67715
1814	302.58215
1815	285.56488
1816	317.12775
1817	287.67096
1818	232.06223
1819	283.19568
1820	314.89728
1821	276.444
1822	257.0345
1823	318.71014
1824	316.792
1825	308.01703
1826	317.12808
1827	291.40262
1828	302.19882
1829	275.14816
1830	324.61133
1831	283.82965
1832	279.66367
1833	296.77432
1834	284.2129
1835	289.80508
1836	233.08728
1837	288.06927
1838	304.4101
1839	308.18292
1840	297.23563
1841	264.4368
1842	314.3082
1843	319.0346
1844	317.91946
1845	283.93735
1846	270.64008
1847	272.289
1848	221.02783
1849	319.33493
1850	304.97537
1851	284.47247
1852	300.46722
1853	306.608
1854	285.1076
1855	290.5949
1856	300.64062
1857	308.4629
1858	192.19736
1859	264.03506
1860	302.55298
1861	307.27795
1862	305.82895
1863	327.16013
1864	326.82016
1865	289.4079
1866	327.51645
1867	314.69843
1868	282.72226
1869	302.1161
1870	278.6718
1871	213.5604
1872	291.28403
1873	289.70425
1874	333.41565
